ЦАО,ЦАО,0
ЦАО,САО,1/4
ЦАО,СВАО,1/4
ЦАО,ВАО,1/4
ЦАО,ЮВАО,1/4
ЦАО,ЮАО,1/4
ЦАО,ЮЗАО,1/4
ЦАО,ЗАО,1/4
ЦАО,СЗАО,1/4
ЦАО,НМАО,2/4
ЦАО,ТАО,3/4
ЦАО,ЗГАО,1
ЦАО,МО,3/4
САО,САО,0
САО,СВАО,1/4
САО,ВАО,2/4
САО,ЮВАО,2/4
САО,ЮАО,2/4
САО,ЮЗАО,2/4
САО,ЗАО,2/4
САО,СЗАО,1/4
САО,НМАО,3/4
САО,ТАО,3/4
САО,ЗГАО,3/4
САО,МО,2/4
СВАО,СВАО,0
СВАО,ВАО,1/4
СВАО,ЮВАО,2/4
СВАО,ЮАО,2/4
СВАО,ЮЗАО,2/4
СВАО,ЗАО,2/4
СВАО,СЗАО,2/4
СВАО,НМАО,3/4
СВАО,ТАО,3/4
СВАО,ЗГАО,3/4
СВАО,МО,2/4
ВАО,ВАО,0
ВАО,ЮВАО,1/4
ВАО,ЮАО,2/4
ВАО,ЮЗАО,2/4
ВАО,ЗАО,2/4
ВАО,СЗАО,2/4
ВАО,НМАО,3/4
ВАО,ТАО,3/4
ВАО,ЗГАО,3/4
ВАО,МО,2/4
ЮВАО,ЮВАО,0
ЮВАО,ЮАО,1/4
ЮВАО,ЮЗАО,2/4
ЮВАО,ЗАО,2/4
ЮВАО,СЗАО,2/4
ЮВАО,НМАО,3/4
ЮВАО,ТАО,3/4
ЮВАО,ЗГАО,3/4
ЮВАО,МО,2/4
ЮАО,ЮАО,0
ЮАО,ЮЗАО,1/4
ЮАО,ЗАО,2/4
ЮАО,СЗАО,2/4
ЮАО,НМАО,2/4
ЮАО,ТАО,3/4
ЮАО,ЗГАО,3/4
ЮАО,МО,2/4
ЮЗАО,ЮЗАО,0
ЮЗАО,ЗАО,1/4
ЮЗАО,СЗАО,2/4
ЮЗАО,НМАО,1/4
ЮЗАО,ТАО,2/4
ЮЗАО,ЗГАО,3/4
ЮЗАО,МО,2/4
ЗАО,ЗАО,0
ЗАО,СЗАО,1/4
ЗАО,НМАО,1/4
ЗАО,ТАО,2/4
ЗАО,ЗГАО,3/4
ЗАО,МО,2/4
СЗАО,СЗАО,0
СЗАО,НМАО,2/4
СЗАО,ТАО,3/4
СЗАО,ЗГАО,3/4
СЗАО,МО,2/4
НМАО,НМАО,0
НМАО,ТАО,1/4
НМАО,ЗГАО,3/4
НМАО,МО,2/4
ТАО,ТАО,0
ТАО,ЗГАО,3/4
ТАО,МО,2/4
ЗГАО,ЗГАО,0
ЗГАО,МО,2/4
МО,МО,0
